image_index,label,average_precision
2144,44,0.98672
2145,44,0.99315
2146,44,0.96996
2147,44,0.96212
2148,44,0.98513
2149,44,0.98376
2150,44,0.97344
2151,44,0.98433
2152,44,0.99128
2153,44,0.94997
2154,44,0.98069
2155,44,0.98953
2156,44,0.97623
2157,44,0.98497
2158,44,0.97922
2159,44,0.9807
2160,44,0.98516
2161,44,0.99216
2162,44,0.99981
2163,44,0.97009
2164,44,0.96726
2165,44,0.98113
2166,44,0.97851
2167,44,0.98338
2168,44,0.99029
2169,44,0.98054
2170,44,0.97675
2171,44,0.96506
2172,44,0.97289
2173,44,1.0
2174,44,0.99003
2175,44,0.98465
2176,44,0.97554
2177,44,0.98747
2178,44,0.96779
2179,44,0.98955
2180,44,0.96483
2181,44,0.96016
2182,45,0.28703
2183,45,0.27709
2184,45,0.50845
2185,45,0.28066
2186,45,0.44301
2187,45,0.14204
2188,45,0.5757
2189,45,0.427
2190,45,0.23503
2191,45,0.56286
2192,45,0.27958
2193,45,0.63692
2194,45,0.29286
2195,45,0.36698
2196,45,0.42042
2197,45,0.46203
2198,45,0.2339
2199,45,0.21709
2200,45,0.18202
2201,45,0.2629
2202,45,0.36587
2203,45,0.52512
2204,45,0.3377
2205,45,0.37339
2206,45,0.62066
2207,45,0.6637
2208,45,0.49645
2209,45,0.3917
2210,45,0.34179
2211,45,0.26437
2212,45,0.4084
2213,45,0.29253
2214,45,0.30934
2215,46,0.87844
2216,46,0.96815
2217,46,0.88191
2218,46,0.91551
2219,46,0.87412
2220,46,0.85464
2221,46,0.71474
2222,46,0.89413
2223,46,0.93238
2224,46,0.87064
2225,46,0.67218
2226,46,0.7935
2227,46,0.86224
2228,46,0.9668
2229,46,0.91422
2230,46,0.97873
2231,46,0.9385
2232,46,0.95372
2233,46,0.93491
2234,46,0.87988
2235,46,0.86718
2236,46,0.88573
2237,46,0.90752
2238,46,0.95166
2239,46,0.76828
2240,46,0.93812
2241,46,0.92332
2242,46,0.94069
2243,46,0.97185
2244,46,0.93211
2245,46,0.87684
2246,46,0.942
2247,46,0.88581
2248,46,0.97973
2249,46,0.92096
2250,46,0.93998
2251,46,0.97039
2252,46,0.72952
2253,46,0.9679
2254,46,0.88183
2255,46,0.9711
2256,46,0.84313
2257,46,0.96285
2258,46,0.95927
2259,46,0.84476
2260,46,0.90428
2261,46,0.82966
2262,46,0.87201
2263,46,0.87507
2264,46,0.96347
2265,46,0.78041
2266,46,0.78033
2267,46,0.96047
2268,46,0.85187
2269,46,0.95307
2270,46,0.92097
2271,46,0.92122
2272,46,0.9631
2273,46,0.84109
2274,46,0.5797
2275,46,0.54291
2276,46,0.97318
2277,46,0.91754
2278,46,0.91236
2279,46,0.87265
2280,46,0.95699
2281,46,0.94744
2282,46,0.93939
2283,46,0.98231
2284,46,0.95873
2285,46,0.95654
2286,46,0.82956
2287,46,0.96408
2288,46,0.8416
2289,46,0.97463
2290,46,0.93975
2291,46,0.81642
2292,46,0.84753
2293,46,0.89727
2294,46,0.93829
2295,46,0.96868
2296,46,0.81445
2297,46,0.90552
2298,46,0.92344
2299,46,0.95903
2300,46,0.92198
2301,46,0.9574
2302,46,0.90341
2303,46,0.94153
2304,46,0.9471
2305,46,0.81604
2306,46,0.76077
2307,46,0.92829
2308,46,0.63599
2309,46,0.93439
2310,46,0.9572
2311,46,0.93382
2312,46,0.80736
2313,46,0.88223
2314,46,0.90015
2315,46,0.80172
2316,46,0.86597
2317,46,0.81119
2318,46,0.95446
2319,46,0.80171
2320,46,0.7997
2321,46,0.8447
2322,46,0.87711
2323,46,0.9244
2324,46,0.97513
2325,46,0.83265
2326,46,0.89513
2327,46,0.90495
2328,46,0.91599
2329,46,0.96749
2330,46,0.91625
2331,46,0.77257
2332,46,0.96394
2333,46,0.8933
2334,46,0.89972
2335,46,0.93039
2336,46,0.94191
2337,46,0.98114
2338,46,0.95082
2339,46,0.91848
2340,46,0.93131
2341,46,0.94577
2342,46,0.95107
2343,46,0.92319
2344,46,0.92709
2345,46,0.92804
2346,46,0.90235
2347,46,0.92179
2348,46,0.67678
2349,46,0.84967
2350,46,0.87134
2351,46,0.97357
2352,46,0.86016
2353,46,0.81549
2354,46,0.91459
2355,46,0.89768
2356,46,0.93446
2357,46,0.87182
2358,46,0.73782
2359,46,0.86823
2360,46,0.95984
2361,46,0.66154
2362,46,0.96921
2363,46,0.93689
2364,46,0.91468
2365,46,0.84146
2366,46,0.83941
2367,46,0.54149
2368,46,0.83583
2369,46,0.89171
2370,46,0.78237
2371,46,0.70102
2372,47,1.0
2373,47,1.0
2374,47,0.99946
2375,47,1.0
2376,47,1.0
2377,47,1.0
2378,47,1.0
2379,47,0.99694
2380,47,0.99872
2381,47,1.0
2382,47,0.99749
2383,47,1.0
2384,47,0.99516
2385,47,0.99946
2386,47,0.99921
2387,47,0.99812
2388,47,0.99872
2389,47,1.0
2390,47,0.99826
2391,47,1.0
2392,47,1.0
2393,47,0.99945
2394,47,1.0
2395,47,0.99973
2396,47,1.0
2397,47,0.99973
2398,47,0.99736
2399,47,1.0
2400,47,0.99866
2401,47,1.0
2402,47,0.99918
2403,47,0.99921
2404,47,0.99973
2405,47,0.99708
2406,47,0.99893
2407,47,0.93568
