image_index,label,recall@1,recall@5,recall@10,recall@20
1863,41,0.01042,0.05208,0.10417,0.20833
1864,41,0.01042,0.05208,0.10417,0.20833
1865,41,0.01042,0.05208,0.10417,0.20833
1866,41,0.01042,0.05208,0.09375,0.1875
1867,41,0.01042,0.05208,0.10417,0.19792
1868,41,0.01042,0.05208,0.09375,0.16667
1869,41,0.01042,0.05208,0.10417,0.19792
1870,41,0.01042,0.05208,0.10417,0.20833
1871,41,0.01042,0.05208,0.10417,0.20833
1872,41,0.01042,0.05208,0.10417,0.1875
1873,41,0.01042,0.05208,0.10417,0.20833
1874,41,0.01042,0.05208,0.10417,0.19792
1875,41,0.01042,0.05208,0.10417,0.20833
1876,41,0.01042,0.05208,0.10417,0.20833
1877,41,0.01042,0.05208,0.10417,0.20833
1878,41,0.01042,0.05208,0.10417,0.20833
1879,41,0.01042,0.05208,0.10417,0.20833
1880,41,0.01042,0.05208,0.10417,0.20833
1881,41,0.01042,0.05208,0.10417,0.1875
1882,41,0.01042,0.05208,0.10417,0.19792
1883,41,0.01042,0.05208,0.10417,0.20833
1884,41,0.01042,0.05208,0.10417,0.20833
1885,41,0.01042,0.05208,0.10417,0.20833
1886,41,0.01042,0.05208,0.10417,0.20833
1887,41,0.01042,0.05208,0.10417,0.19792
1888,41,0.01042,0.05208,0.10417,0.20833
1889,41,0.01042,0.05208,0.10417,0.20833
1890,41,0.01042,0.05208,0.10417,0.20833
1891,41,0.01042,0.05208,0.10417,0.20833
1892,41,0.01042,0.05208,0.10417,0.20833
1893,41,0.01042,0.05208,0.10417,0.20833
1894,41,0.01042,0.05208,0.10417,0.20833
1895,41,0.01042,0.05208,0.10417,0.20833
1896,41,0.01042,0.05208,0.10417,0.20833
1897,41,0.01042,0.05208,0.10417,0.20833
1898,41,0.01042,0.05208,0.10417,0.20833
1899,41,0.01042,0.05208,0.10417,0.20833
1900,41,0.01042,0.05208,0.10417,0.20833
1901,41,0.01042,0.05208,0.10417,0.20833
1902,41,0.01042,0.05208,0.10417,0.20833
1903,41,0.01042,0.05208,0.10417,0.20833
1904,41,0.01042,0.05208,0.10417,0.20833
1905,41,0.01042,0.05208,0.08333,0.16667
1906,41,0.01042,0.05208,0.10417,0.20833
1907,41,0.01042,0.05208,0.10417,0.20833
1908,41,0.01042,0.05208,0.10417,0.20833
1909,41,0.01042,0.05208,0.10417,0.20833
1910,41,0.01042,0.05208,0.10417,0.20833
1911,41,0.01042,0.05208,0.10417,0.20833
1912,41,0.01042,0.05208,0.10417,0.20833
1913,41,0.01042,0.05208,0.10417,0.20833
1914,41,0.01042,0.05208,0.10417,0.20833
1915,41,0.01042,0.05208,0.10417,0.20833
1916,41,0.01042,0.05208,0.10417,0.20833
1917,41,0.01042,0.04167,0.09375,0.16667
1918,41,0.01042,0.04167,0.08333,0.14583
1919,41,0.01042,0.05208,0.10417,0.1875
1920,41,0.01042,0.05208,0.10417,0.20833
1921,41,0.01042,0.05208,0.10417,0.20833
1922,41,0.01042,0.05208,0.10417,0.20833
